Team,Player Name,Player Type,Credits,2020M,2020P,2021M,2021P,2022M,2022P,2023M,2023P,2024M,2024P,Total Matches,Total Points,Average
RR,Sanju Samson,WK,9,14,375,14,484,17,458,14,362,16,531,77,2289,29.73
SRH,Aniket Verma,BAT,5,0,0,0,0,0,0,0,0,0,0,1,23,23
SRH,Eshan Malinga,BOWL,6,0,0,0,0,0,0,0,0,0,0,0,0,0
SRH,K Nitish Reddy,ALL,8,0,0,0,0,0,0,2,8,13,421,16,473,29.56
SRH,Abhinav Manohar,BAT,6.5,0,0,0,0,8,176,9,266,2,29,20,487,24.35
SRH,Atharva Taide,BAT,6.5,0,0,0,0,0,0,7,318,2,103,9,421,46.78
SRH,Simarjeet- Singh,BOWL,6,0,0,0,0,6,95,0,0,4,157,11,306,27.82
SRH,Rahul Chahar,BOWL,6.5,15,213,11,193,13,254,14,181,9,186,62,1027,16.56
SRH,Abhishek Sharma,ALL,8.5,8,143,8,134,14,253,11,177,16,321,58,1069,18.43
SRH,Kamindu Mendis,BAT,7,0,0,0,0,0,0,0,0,0,0,0,0,0
SRH,Wiaan Mulder,ALL,7,0,0,0,0,0,0,0,0,0,0,0,0,0
SRH,Zeeshan Ansari,BOWL,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0
SRH,Ishan Kishan,WK,8,14,572,10,284,14,444,16,534,14,359,69,2314,33.54
SRH,Heinrich Klaasen,WK,9,0,0,0,0,0,0,12,505,16,527,29,1071,36.93
SRH,Sachin Baby,BAT,6.5,0,0,1,20,0,0,0,0,0,0,1,20,20
SRH,Travis Head,BAT,9,0,0,0,0,0,0,0,0,15,667,16,754,47.13
SRH,Adam Zampa,BOWL,7.5,3,54,0,0,0,0,6,144,0,0,10,266,26.6
SRH,Harshal Patel,BOWL,8,5,78,15,226,15,165,13,122,14,181,63,810,12.86
SRH,Pat Cummins,BOWL,8.5,14,178,7,127,5,95,0,0,16,194,43,596,13.86
SRH,Mohammed Shami,BOWL,8.5,14,160,14,153,16,180,17,216,0,0,62,727,11.73
SRH,Jaydev Unadkat,BOWL,7,7,58,6,45,5,65,3,9,11,88,32,265,8.28
